What is the capital of France?	Paris	Rome	London	Berlin	A
Who painted the Mona Lisa?	Pablo Picasso	Vincent van Gogh	Leonardo da Vinci	Michelangelo	C
What is the largest planet in our solar system?	Mars	Saturn	Jupiter	Neptune	C
Which country is known as the Land of the Rising Sun?	China	India	Japan	Brazil	C
What is the chemical symbol for gold?	Go	Gd	Au	Ag	C
In which year did World War II end?	1939	1945	1941	1943	B
What is the tallest mountain in the world?	Mount Everest	K2	Kilimanjaro	Mount Fuji	A
Who wrote the play "Romeo and Juliet"?	William Shakespeare	Oscar Wilde	Jane Austen	Charles Dickens	A
What is the largest ocean on Earth?	Atlantic Ocean	Indian Ocean	Arctic Ocean	Pacific Ocean	D
Which planet is known as the Red Planet?	Jupiter	Venus	Mars	Saturn	C
Who discovered penicillin?	Marie Curie	Albert Einstein	Alexander Fleming	Isaac Newton	C
What is the main language spoken in Brazil?	Spanish	Portuguese	French	Italian	B
Who is the author of "To Kill a Mockingbird"?	J.D. Salinger	Harper Lee	Ernest Hemingway	F. Scott Fitzgerald	B
Which animal is known as the "King of the Jungle"?	Giraffe	Lion	Elephant	Tiger	B
What is the chemical symbol for oxygen?	Os	Ox	O	N	C
Who painted the famous artwork "The Starry Night"?	Salvador Dalí	Edvard Munch	Pablo Picasso	Vincent van Gogh	D
Which country is home to the pyramids of Giza?	Sudan	Egypt	Morocco	Algeria	B
What is the largest organ in the human body?	Heart	Brain	Skin	Liver	C
Who is the current CEO of Tesla?	Bill Gates	Tim Cook	Elon Musk	Jeff Bezos	C
What is the capital of Canada?	Vancouver	Toronto	Montreal	Ottawa	D
How many colors are there in a rainbow?	5	6	7	8	C
Who wrote the novel "Pride and Prejudice"?	Jane Austen	Charlotte Brontë	Emily Dickinson	Mark Twain	A
Which gas makes up the majority of Earth's atmosphere?	Hydrogen	Oxygen	Nitrogen	Carbon dioxide	C
Who is the author of "1984"?	George Orwell	J.R.R. Tolkien	Harper Lee	Ray Bradbury	A
What is the largest continent in the world?	Europe	Asia	Africa	North America	B
Which country is famous for its tulips and windmills?	Germany	Netherlands	France	Sweden	B
Who painted the Sistine Chapel ceiling?	Michelangelo	Pablo Picasso	Leonardo da Vinci	Vincent van Gogh	A
What is the chemical symbol for iron?	Ir	Fe	In	Au	B
In which city is the Eiffel Tower located?	Madrid	Rome	Paris	London	C
What is the largest desert in the world?	Kalahari Desert	Sahara Desert	Atacama Desert	Gobi Desert	B
Who is the lead vocalist of the band Coldplay?	Chris Martin	Bono	Thom Yorke	Eddie Vedder	A
What is the national flower of Japan?	Cherry blossom	Rose	Tulip	Sunflower	A
Which planet is known as the "Morning Star" or "Evening Star"?	Venus	Mercury	Mars	Jupiter	A
Who is the author of "The Great Gatsby"?	F. Scott Fitzgerald	Ernest Hemingway	J.D. Salinger	Harper Lee	A
Which country is famous for the Great Wall?	Japan	China	India	Russia	B
What is the chemical symbol for silver?	Ag	Au	Pb	Cu	A
Which musical instrument has 88 keys?	Violin	Piano	Guitar	Trumpet	B
Who painted the ceiling of the Sistine Chapel?	Raphael	Sandro Botticelli	Claude Monet	Michelangelo	D
Which country hosted the 2018 FIFA World Cup?	France	Brazil	Russia	Germany	C
What is the largest waterfall in the world?	Iguazu Falls	Niagara Falls	Victoria Falls	Angel Falls	C
Who is the founder of Microsoft?	Steve Jobs	Bill Gates	Mark Zuckerberg	Jeff Bezos	B
What is the national animal of Australia?	Kangaroo	Koala	Eagle	Crocodile	A
Which two colors are on the flag of the United States?	Red and blue	Blue and white	Red and yellow	Red and white	A
Who wrote the novel "Moby-Dick"?	Mark Twain	Herman Melville	Jules Verne	Emily Dickinson	B
Which gas is most abundant in Earth's atmosphere?	Carbon dioxide	Methane	Helium	Nitrogen	D
What is the capital of Australia?	Sydney	Melbourne	Perth	Canberra	D
Who is the lead singer of the band Queen?	Bono	Freddie Mercury	Thom Yorke	Eddie Vedder	B
What is the national bird of the United States?	Eagle	Hawk	Owl	Penguin	A
Which country is known as the "Land of the Rising Sun"?	China	India	Japan	Korea	C
What is the chemical symbol for hydrogen?	Ox	Hg	H	N	C
Who painted the famous artwork "The Persistence of Memory"?	Edvard Munch	Salvador Dalí	Pablo Picasso	Vincent van Gogh	B
Which country is famous for the Taj Mahal?	Sri Lanka	India	Thailand	Malaysia	B

